,AL627309.3,LINC01409,LINC01128,AL645608.2,SAMD11,NOC2L,KLHL17,AL645608.7,HES4,ISG15,AGRN,C1orf159,TNFRSF4,SDF4,C1QTNF12,UBE2J2,SCNN1D,ACAP3,INTS11,CPTP,DVL1,AURKAIP1,CCNL2,MRPL20.AS1,MRPL20,AL391244.2,ANKRD65,VWA1,ATAD3C,ATAD3B,ATAD3A,TMEM240,SSU72,AL691432.4,AL691432.2,MIB2,CDK11B,SLC35E2B,CDK11A,SLC35E2A,NADK,GNB1,CFAP74,GABRD,PRKCZ,FAAP20,SKI
MRPL20.AS1,0.000233109,0.000233109,0.000469861,0.000233109,0.000233109,0.000954762,0.0,0.0,0.001203158,0.000954762,0.001203158,0.000469861,0.000233109,0.001455695,0.000469861,0.001973759,0.000233109,0.001712513,0.001712513,0.000710372,0.000469861,0.002239589,0.005520428,10.0,0.001973759,0.000469861,0.000469861,0.001203158,0.000469861,0.000954762,0.000233109,0.001203158,0.002239589,0.0,0.000233109,0.001203158,0.001455695,0.001712513,0.000710372,0.000469861,0.001455695,0.029260768,0.000233109,0.000469861,0.000469861,0.001712513,0.03094775
MRPL20,0.001973759,0.001973759,0.013582843,0.001973759,0.001973759,0.028656317,0.0,0.0,0.010207335,0.004075906,0.010207335,0.013582843,0.001973759,0.00089072,0.003980238,0.008891522,0.032846652,0.000250106,0.000250106,0.006020542,0.003980238,0.056213006,0.082845226,0.001973759,10.0,0.003980238,0.003980238,0.002078451,0.013582843,0.004075906,0.001973759,0.002078451,0.010561313,0.0,0.001973759,0.002078451,0.00089072,0.037473459,0.007424568,0.067632124,0.015938221,0.018238498,0.032846652,0.003980238,0.067632124,0.000250106,0.063204013
AL391244.2,0.000469861,0.000469861,0.000947124,0.000469861,0.000469861,0.001924811,0.0,0.0,0.002425744,0.001924811,0.020572079,0.000947124,0.000469861,0.017773779,0.000947124,0.013582843,0.000469861,0.003453162,0.003453162,0.029056104,0.000947124,0.01194977,0.059293482,0.000469861,0.003980238,10.0,0.000947124,0.002425744,0.000947124,0.001924811,0.000469861,0.002425744,0.090124846,0.0,0.000469861,0.002425744,0.002935099,0.015493522,0.029056104,0.000947124,0.017773779,0.015686328,0.000469861,0.000947124,0.000947124,0.015493522,0.015230609
ANKRD65,0.000469861,0.000469861,0.000947124,0.000469861,0.000469861,0.09378504,0.0,0.0,0.002425744,0.001924811,0.002425744,0.000947124,0.000469861,0.002935099,0.036743596,0.003980238,0.000469861,0.003453162,0.003453162,0.001432024,0.000947124,0.01194977,0.042556833,0.000469861,0.003980238,0.000947124,10.0,0.020572079,0.000947124,0.001924811,0.000469861,0.020572079,0.013848673,0.0,0.000469861,0.002425744,0.017773779,0.003453162,0.029056104,0.000947124,0.002935099,0.015686328,0.000469861,0.000947124,0.000947124,0.003453162,0.015230609
VWA1,0.001203158,0.001203158,0.020572079,0.001203158,0.001203158,0.009483595,0.0,0.0,0.006674236,0.004931783,0.036058865,0.002425744,0.001203158,0.007523617,0.002425744,0.002078451,0.001203158,0.003177226,0.025146257,0.003668396,0.020572079,0.001272052,0.098956637,0.001203158,0.002078451,0.002425744,0.020572079,10.0,0.020572079,0.004931783,0.001203158,0.006216609,0.003170955,0.0,0.001203158,0.006216609,0.007523617,0.008853585,0.01362991,0.002425744,0.004659831,0.071572371,0.001203158,0.002425744,0.002425744,0.008853585,0.017042885
ATAD3C,0.000469861,0.000469861,0.000947124,0.000469861,0.000469861,0.024152039,0.0,0.0,0.002425744,0.001924811,0.002425744,0.036743596,0.000469861,0.002935099,0.000947124,0.003980238,0.000469861,0.015493522,0.003453162,0.001432024,0.000947124,0.01194977,0.067632124,0.000469861,0.013582843,0.000947124,0.000947124,0.020572079,10.0,0.001924811,0.000469861,0.002425744,0.013848673,0.0,0.000469861,0.020572079,0.002935099,0.015493522,0.001432024,0.036743596,0.017773779,0.019272212,0.000469861,0.000947124,0.000947124,0.003453162,0.015230609
ATAD3B,0.000954762,0.044434845,0.001924811,0.000954762,0.000954762,0.003912786,0.0,0.0,0.009483595,0.003912786,0.004931783,0.001924811,0.000954762,0.007203361,0.001924811,0.004075906,0.000954762,0.005450178,0.005450178,0.002910644,0.001924811,0.009188337,0.031749725,0.000954762,0.004075906,0.001924811,0.001924811,0.004931783,0.001924811,10.0,0.000954762,0.044277925,0.072166212,0.0,0.044434845,0.044277925,0.037908088,0.005450178,0.002910644,0.001924811,0.005968213,0.040362407,0.000954762,0.001924811,0.001924811,0.005450178,0.005641693
ATAD3A,0.000233109,0.000233109,0.000469861,0.000233109,0.000233109,0.000954762,0.0,0.0,0.001203158,0.000954762,0.001203158,0.000469861,0.000233109,0.001455695,0.000469861,0.032846652,0.000233109,0.001712513,0.001712513,0.000710372,0.000469861,0.002239589,0.005520428,0.000233109,0.001973759,0.000469861,0.000469861,0.001203158,0.000469861,0.000954762,10.0,0.001203158,0.002239589,0.0,0.000233109,0.001203158,0.001455695,0.001712513,0.000710372,0.000469861,0.001455695,0.029260768,0.000233109,0.000469861,0.000469861,0.001712513,0.027743081
TMEM240,0.001203158,0.040606491,0.002425744,0.001203158,0.001203158,0.009483595,0.0,0.0,0.006674236,0.044277925,0.006674236,0.002425744,0.001203158,0.007523617,0.020572079,0.010207335,0.001203158,0.025146257,0.008853585,0.003668396,0.020572079,0.001272052,0.025732342,0.001203158,0.002078451,0.002425744,0.020572079,0.006216609,0.002425744,0.044277925,0.001203158,10.0,0.056816805,0.0,0.001203158,0.006674236,0.029950274,0.008853585,0.003668396,0.002425744,0.007523617,0.034345023,0.001203158,0.020572079,0.002425744,0.003177226,0.102463
SSU72,0.002239589,0.032846652,0.004516645,0.002239589,0.002239589,0.00488781,0.0,0.0,0.003170955,0.009188337,0.048840065,0.004516645,0.002239589,0.058399308,0.013848673,0.044473417,0.002239589,0.001919898,0.013339276,0.053630084,0.004516645,0.039535306,0.070636004,0.002239589,0.010561313,0.090124846,0.013848673,0.003170955,0.013848673,0.072166212,0.002239589,0.056816805,10.0,0.0,0.002239589,0.003170955,0.017030725,0.047589008,0.053630084,0.004516645,0.039523449,0.06218785,0.002239589,0.004516645,0.013848673,0.03856596,0.039768655
