AL627309.3,LINC01409,LINC01128,AL645608.2,SAMD11,NOC2L,KLHL17,AL645608.7,HES4,ISG15,AGRN,C1orf159,TNFRSF4,SDF4,C1QTNF12,UBE2J2,SCNN1D,ACAP3,INTS11,CPTP,DVL1,AURKAIP1,CCNL2,MRPL20-AS1,MRPL20,AL391244.2,ANKRD65,VWA1,ATAD3C,ATAD3B,ATAD3A,TMEM240,SSU72,AL691432.4,AL691432.2,MIB2,CDK11B,SLC35E2B,CDK11A,SLC35E2A,NADK,GNB1,CFAP74,GABRD,PRKCZ,FAAP20,SKI
0.0,0.0,1.4352064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9556099,0.0,0.0,0.0,0.0,0.0,0.9556099,0.0,1.4352064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9556099,0.9556099,0.9556099,0.9556099,0.0,1.7579904,0.0,0.0,0.9556099,0.0,0.9556099
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993235,0.0,0.9993235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4890511,0.0,0.9993235,0.0,0.9993235,0.0,0.0,0.0,0.0,0.9993235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993235,0.0,0.0,0.0,0.0,1.8163433
0.0,0.0,0.0,0.0,0.0,0.82709664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2735008,0.0,0.0,0.0,0.82709664,0.82709664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82709664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7007912,0.0,1.7007912,0.0,0.0,0.0
0.0,0.0,0.971686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4366183,0.0,0.0,0.0,0.0,0.4366183,0.0,0.4366183,0.4366183,0.0,0.0,0.0,0.4366183,0.0,0.0,0.0,0.0,0.4366183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4366183,1.3183705,0.0,0.0,0.0,0.0,0.971686
0.0,0.0,0.0,0.0,0.0,0.35163504,0.0,0.0,0.0,0.0,0.0,0.35163504,0.0,0.0,0.0,0.0,0.0,0.35163504,0.0,0.0,0.0,0.35163504,0.9878889,0.0,0.611275,0.0,0.0,0.0,1.3736467,0.0,0.0,0.0,0.0,0.0,0.0,0.35163504,0.0,0.35163504,0.0,0.611275,0.611275,0.8172079,0.0,0.0,0.0,0.0,1.2608271
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8951067,0.8951067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3597435,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4738175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4738175,0.0,0.0,0.0,0.0,2.0453339
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1415893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1415893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.660793,0.0,0.0,0.0,0.0,1.1415893
0.0,0.0,0.0,0.0,0.0,0.88046896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88046896,0.0,0.0,0.0,0.0,0.0,0.0,0.88046896,0.88046896,0.0,0.0,0.0,0.88046896,0.0,0.0,0.0,0.0,0.88046896,0.88046896,0.0,0.0,0.0,0.88046896,0.0,0.0,0.0,0.0,1.6555753,0.0,0.0,0.0,0.0,1.8943344
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0964172,0.0,0.69150126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0964172,0.69150126,0.0,0.0,0.0,1.0964172
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5787961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5787961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0642327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0642327,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9901957,0.0,0.9901957,0.9901957,0.0,0.0,1.8042287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0498898,0.0,0.0,0.0,0.0,2.0498898
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4365492,0.0,1.4365492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4365492
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.312181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9550512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3942974
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3688512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3688512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3688512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3688512,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.1342416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1342416,1.1342416,0.0,0.0,0.0,0.0,1.1342416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1342416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1342416,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7785959,0.0,0.7785959,0.7785959,0.0,0.0,0.0,0.7785959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7785959,0.0,0.0,0.0,0.7785959,0.7785959
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5686396,1.0647304,0.0,0.0,0.0,0.0,1.0647304,0.0,0.0,0.0,0.0,1.0647304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0647304,1.0647304,0.0,0.0,0.0,1.0647304,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62623215,0.0,0.0,0.62623215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62623215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62623215,0.0,1.0083588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0083588,0.0,0.0,0.62623215,0.0,1.6776098
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5359298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5359298,2.479637,0.0,0.0,0.0,0.0,1.5359298
