"","AL627309.3","LINC01409","LINC01128","AL645608.2","SAMD11","NOC2L","KLHL17","AL645608.7","HES4","ISG15","AGRN","C1orf159","TNFRSF4","SDF4","C1QTNF12","UBE2J2","SCNN1D","ACAP3","INTS11","CPTP","DVL1","AURKAIP1","CCNL2","MRPL20.AS1","MRPL20","AL391244.2","ANKRD65","VWA1","ATAD3C","ATAD3B","ATAD3A","TMEM240","SSU72","AL691432.4","AL691432.2","MIB2","CDK11B","SLC35E2B","CDK11A","SLC35E2A","NADK","GNB1","CFAP74","GABRD","PRKCZ","FAAP20","SKI"
"56",1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,4,1
"57",1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,4,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4
"58",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"59",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1
"60",1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"61",1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
"62",1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"63",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,4,4,1,1,1,1,4
"64",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
"65",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"66",1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,2,1,1,1,1,4,1,1,1,4,1,1,1,4,1,1,1,1,4,1,1,1,4,1,4
